speak,spoke,spoken,speaking,berbicara,REG,The CEO spoke about his career experiences.,Irregular! speak-spoke-spoken,CEO berbicara tentang pengalaman kariernya.
take,took,taken,taking,mengambil/naik,IRR,Passengers who will be taking a connecting domestic flight should go to Terminal A.,Irregular! take-took-taken,Penumpang yang akan naik penerbangan domestik sambungan harus menuju Terminal A.
eat,ate,eaten,eating,makan,IRR,Fresh and tasty apple-cider donuts are available to eat.,Irregular! eat-ate-eaten,Donat sari apel yang segar dan lezat tersedia untuk dimakan.
ensure,ensured,ensured,ensuring,memastikan,REG,One responsibility of the IT department is to ensure that the company is using updated software.,Regular: +d,Salah satu tanggung jawab departemen IT adalah memastikan perusahaan menggunakan perangkat lunak terbaru.
check,checked,checked,checking,memeriksa,REG,It is wise to check a company dress code before visiting.,Regular: +ed,Bijaksana untuk memeriksa kode berpakaian perusahaan sebelum berkunjung.
support,supported,supported,supporting,mendukung,REG,Employees will enthusiastically support any new hires.,Regular: +ed,Karyawan akan dengan antusias mendukung karyawan baru.
inspect,inspected,inspected,inspecting,memeriksa,REG,Wheel alignments and brake system inspections are part of our vehicle service plan.,Regular: +ed,Penyelarasan roda dan pemeriksaan sistem rem adalah bagian dari rencana servis kendaraan kami.
register,registered,registered,registering,mendaftar,REG,Registration for the Marketing Coalition Conference is now open.,Regular: +ed (drop e),Pendaftaran untuk Konferensi Marketing Coalition kini telah dibuka.
grow,grew,grown,growing,tumbuh/berkembang,IRR,Growth in the home entertainment industry has been limited.,Irregular! grow-grew-grown,Pertumbuhan industri hiburan rumahan telah terbatas.
deliver,delivered,delivered,delivering,mengirimkan,REG,Hawson Furniture will be making deliveries on the east side of town.,Regular: +ed,Hawson Furniture akan melakukan pengiriman di sisi timur kota pada hari Kamis.
prohibit,prohibited,prohibited,prohibiting,melarang,REG,The Marlton City Council does not have the authority to prohibit parking.,Regular: +ed,Dewan Kota Marlton tidak memiliki wewenang untuk melarang parkir.
look,looked,looked,looking,mencari/melihat,REG,Project Earth Group is looking for ways to reduce emissions.,Regular: +ed,Project Earth Group sedang mencari cara untuk mengurangi emisi.
design,designed,designed,designing,merancang,REG,Our skilled tailors are happy to design a custom-made suit.,Regular: +d,Penjahit terampil kami dengan senang hati merancang setelan buatan khusus.
fit,fitted,fitted,fitting,cocok/sesuai,REG,A custom-made suit that fits your style and budget perfectly.,Double t: fit-fitted-fitted-fitting,Setelan buatan khusus yang cocok dengan gaya dan anggaran Anda.
prove,proved,proved/proven,proving,membuktikan,IRR,Project manager Hannah Chung has proved to be very helpful.,V3 bisa proved atau proven,Manajer proyek Hannah Chung terbukti sangat membantu.
receive,received,received,receiving,menerima,REG,Lehua Vacation Club members will receive double points.,Regular: +d (drop e),Anggota Lehua Vacation Club akan menerima poin ganda.
